	Dynamic_model_log_likelihood	Constant_model_log_likelihood	log_likelihood_ratio	p_value	q_value
LINC01411	-6274.273688290244	-432747744.44667333	432741470.172985	0.0	0.0
MSX2	-1992.4728992790745	-1833.3609026625377	-159.11199661653677	1.0	1.0
ZNF354B	-4247.386575877389	-3795.023592385349	-452.36298349204026	1.0	1.0
LINC00847	-4975.749015977495	-4690.848619123115	-284.90039685438023	1.0	1.0
TRIM41	-17205.465364808555	-15051.779803265214	-2153.6855615433415	1.0	1.0
AC008443.8	-999.0792180803838	-923.2763750075959	-75.80284307278794	1.0	1.0
AL357054.4	-211.22788236467875	-202.21625561471623	-9.011626749962517	1.0	1.0
FOXC1	-3705.1415804978196	-3194.0901875335926	-511.05139296422703	1.0	1.0
SERPINB9P1	-562.9264759856597	-498.58736525923854	-64.33911072642121	1.0	1.0
AL033523.1	-861.92479548592	-771.2095031387604	-90.71529234715956	1.0	1.0
AL391422.4	-721.2208729287291	-655.147480575102	-66.07339235362713	1.0	1.0
SNRNP48	-5325.803190751975	-5430.008366922005	104.20517617002952	0.0	0.0
C6orf52	-1578.8588958609903	-1424.516492997112	-154.3424028638783	1.0	1.0
EDN1	-2617.7390041682456	-2231.4460958917944	-386.29290827645127	1.0	1.0
GMPR	-3092.734272670341	-2682.7495180429814	-409.9847546273595	1.0	1.0
AL138724.1	-215.04209091103397	-187.12460595411494	-27.917484956919026	1.0	1.0
KIF13A	-13078.995543042802	-13289.144939658128	210.14939661532662	0.0	0.0
DEK	-46203.480996196275	-45719.81721102931	-483.6637851669657	1.0	1.0
ID4	-46445.35025637524	-44302.06623736995	-2143.2840190052884	1.0	1.0
SOX4	-8381.325766578606	-8130.72036204057	-250.60540453803605	1.0	1.0
TRIM38	-2431.344838095589	-2270.1757624747406	-161.16907562084816	1.0	1.0
HFE	-1316.8345133723585	-1232.308795987553	-84.5257173848056	1.0	1.0
HIST1H2AC	-7345.011163540588	-7611.173059339439	266.1618957988503	0.0	0.0
HIST1H2BE	-388.0957976529063	-346.11323823866474	-41.982559414241564	1.0	1.0
HIST1H2AE	-840.4997036456136	-783.7966369547888	-56.70306669082481	1.0	1.0
BTN2A2	-1261.3976117893114	-1067.570838336294	-193.8267734530175	1.0	1.0
AL590062.1	-560.3818606403228	-490.7587508307009	-69.6231098096219	1.0	1.0
AL031118.1	-1015.4158311858973	-926.9596810886727	-88.45615009722462	1.0	1.0
NKAPL	-2485.427587173397	-2199.900210041303	-285.527377132094	1.0	1.0
ZSCAN23	-394.8463386381352	-343.7259625740613	-51.12037606407387	1.0	1.0
MOG	-28171.239985342447	-31624.51929633853	3453.279310996084	0.0	0.0
HLA-F-AS1	-1599.0258008155645	-1422.187400304191	-176.8384005113735	1.0	1.0
HCG17	-876.1664821947942	-795.8772554917301	-80.28922670306406	1.0	1.0
HLA-E	-36442.31038837541	-36436.97410107491	-5.336287300495314	1.0	1.0
DDR1	-32406.156831566263	-32988.38025743435	582.2234258680874	0.0	0.0
HLA-B	-43977.239644547306	328318.0296712042	-372295.2693157515	1.0	1.0
LST1	-3805.296102263555	-3298.8988206332515	-506.3972816303035	1.0	1.0
AIF1	-9772.401924277941	-8219.629295863902	-1552.772628414039	1.0	1.0
C6orf47	-3538.3470010540977	-3664.5242181034423	126.17721704934456	0.0	0.0
HSPA1B	-71049.69331633464	-61672.510547255384	-9377.182769079256	1.0	1.0
GPSM3	-2294.6845026000415	-2078.6765442310716	-216.00795836896987	1.0	1.0
HLA-DRA	-21933.395740164244	-21898.77183650005	-34.62390366419277	1.0	1.0
HLA-DRB1	-18226.841756252383	-18357.39594577384	130.55418952145556	0.0	0.0
HLA-DQA1	-2551.807685555311	-2308.2803901385064	-243.52729541680446	1.0	1.0
HLA-DQB1	-4959.444568220986	-4391.044827068964	-568.3997411520222	1.0	1.0
PSMB9	-2831.7478703280526	-2409.471130757748	-422.27673957030447	1.0	1.0
HLA-DOA	-1591.074975089684	-1392.2384974230172	-198.83647766666672	1.0	1.0
HLA-DPA1	-13098.98796864537	-13256.833341025394	157.84537238002486	0.0	0.0
HLA-DPB1	-6420.633885933797	-6672.741362889985	252.1074769561883	0.0	0.0
HCG25	-884.3905128799165	-795.7837077001509	-88.60680517976562	1.0	1.0
IP6K3	-1331.2384564782803	-1223.4668134149301	-107.77164306335021	1.0	1.0
Z84485.1	-1881.8689419895434	-1613.5267485903394	-268.342193399204	1.0	1.0
ETV7	-400.11641876231545	-352.8658956229845	-47.25052313933094	1.0	1.0
CDKN1A	-10953.915997983106	-11166.714241987236	212.79824400413054	0.0	0.0
PI16	-5968.208580163063	-5103.64844285878	-864.5601373042828	1.0	1.0
TMEM217	-389.6840090031282	-346.70645434251696	-42.97755466061125	1.0	1.0
GLP1R	-394.781071253118	-353.91483928348066	-40.86623196963734	1.0	1.0
DAAM2	-40942.54373696478	-43406.80593889642	2464.2622019316404	0.0	0.0
TREM2	-5180.233184166771	-4480.104659630098	-700.1285245366735	1.0	1.0
AL035670.1	-1434.2021303843212	-1342.9240388137873	-91.27809157053389	1.0	1.0
CYP39A1	-559.1950030317447	-493.1073856309419	-66.0876174008028	1.0	1.0
CENPQ	-5280.41556158839	-5087.775685976871	-192.63987561151953	1.0	1.0
LRRC1	-4948.395056484227	-4179.426957902179	-768.9680985820478	1.0	1.0
COL21A1	-3884.8443791430295	-3423.3579567500433	-461.48642239298624	1.0	1.0
DST	-110972.61539064816	-111374.86295835956	402.247567711398	0.0	0.0
AL355347.1	-398.64766575141755	-348.8991508263922	-49.74851492502535	1.0	1.0
B3GAT2	-22258.691227412717	-22820.96513245053	562.2739050378113	0.0	0.0
AL096709.1	-382.02086032689346	-344.42829297276904	-37.59256735412441	1.0	1.0
AL589935.3	-392.9645915976902	-349.3026791664549	-43.661912431235294	1.0	1.0
CGAS	-742.8417956134006	-622.5494907416526	-120.292304871748	1.0	1.0
FILIP1	-8995.467827676259	-7956.328437287995	-1039.1393903882636	1.0	1.0
MYO6	-42218.317698246996	-42078.25900120292	-140.05869704407814	1.0	1.0
AL391840.3	-398.5530802940154	-375.019077695407	-23.534002598608367	1.0	1.0
AL359715.1	-1605.273179099993	-1427.916536732115	-177.35664236787807	1.0	1.0
AL359715.2	-1022.4314606829051	-959.6839243377887	-62.74753634511649	1.0	1.0
TENT5A	-2808.791808431687	-2574.511892005793	-234.27991642589404	1.0	1.0
CEP162	-10718.945575756596	-9143.129051104665	-1575.816524651931	1.0	1.0
SNHG5	-23543.95006897434	-24948.377442963803	1404.4273739894634	0.0	0.0
AL450338.2	-544.6445735009886	-497.13788029375854	-47.50669320723006	1.0	1.0
CNR1	-14775.072897940106	-16144.359353050466	1369.2864551103594	0.0	0.0
PM20D2	-4786.887256037446	-4333.523654102829	-453.3636019346168	1.0	1.0
MDN1	-22997.733477735987	-23196.74598088812	199.01250315213474	0.0	0.0
CASP8AP2	-20137.173289905997	-20405.046720758113	267.87343085211614	0.0	0.0
UFL1-AS1	-568.2932649184954	-532.0075916009872	-36.28567331750821	1.0	1.0
MMS22L	-3074.9736291604195	-2831.389974224276	-243.58365493614338	1.0	1.0
FBXL4	-4246.449564703768	-4358.568626819163	112.11906211539463	0.0	0.0
PNISR	-64596.227427224076	-64147.54334296577	-448.6840842583042	1.0	1.0
BVES	-2406.5693819922667	-2075.6308502869715	-330.9385317052952	1.0	1.0
PRDM1	-2504.833738024509	-2208.30951149716	-296.5242265273487	1.0	1.0
LINC02526	-700.4785266291306	-651.5809402680426	-48.897586361087974	1.0	1.0
AFG1L	-2758.681854084878	-2514.58139051826	-244.10046356661815	1.0	1.0
Z97989.1	-4628.709026384197	-4037.869436565421	-590.8395898187764	1.0	1.0
LINC01268	-394.61079132091646	-374.1487665303326	-20.462024790583882	1.0	1.0
CALHM5	-555.0648771267979	-496.9865998165957	-58.078277310202225	1.0	1.0
GJA1	3401568.3590583242	-79906.66109764973	3481475.020155974	0.0	0.0
FABP7	-19979.29814306853	-21340.809110301547	1361.5109672330182	0.0	0.0
TRDN	-2524.337491623892	-2243.000971042839	-281.33652058105326	1.0	1.0
NKAIN2	-20241.27093787229	-20826.628887514424	585.3579496421335	0.0	0.0
AL356124.1	-388.7797447349041	-358.3458778429869	-30.433866891917205	1.0	1.0
L3MBTL3	-4656.556287762082	-4101.229049028924	-555.3272387331581	1.0	1.0
EPB41L2	-58395.80112842087	-58162.53609605959	-233.2650323612761	1.0	1.0
CCN2	-11669.860997939439	-12112.982921500517	443.1219235610788	0.0	0.0
LINC01013	-701.0624764236314	-665.6497798593095	-35.41269656432189	1.0	1.0
SGK1	-18125.756166218656	-18449.557641711363	323.80147549270623	0.0	0.0
LINC00271	-2013.0289113802855	-1745.199971756367	-267.8289396239186	1.0	1.0
MTFR2	-161.30607943036838	-186.42198765186393	25.115908221495545	1.3661294318012551e-12	4.905312142912945e-12
MAP7	-40767.713576971466	-41751.79839217333	984.0848152018661	0.0	0.0
UTRN	-27379.488597027717	-27608.514364264633	229.02576723691527	0.0	0.0
SHPRH	-10787.492093773248	-11039.965522205934	252.47342843268598	0.0	0.0
UST	-5287.779298183948	-5145.264250028715	-142.51504815523367	1.0	1.0
AL031056.1	-8690.13407154182	-7591.304114122439	-1098.8299574193798	1.0	1.0
AL031056.2	-216.06579468742788	-195.11000740319267	-20.955787284235214	1.0	1.0
SUMO4	-717.6178811803486	-665.1823664131376	-52.435514767210975	1.0	1.0
MYCT1	-1938.4351993092312	-1558.2838149779088	-380.15138433132233	1.0	1.0
VIP	-10883.353539914919	-12007.234143426485	1123.8806035115667	0.0	0.0
SYNJ2	-20587.846084360808	-20409.084561328767	-178.7615230320407	1.0	1.0
SYTL3	-393.7383994213286	-374.9185098244466	-18.819889596882035	1.0	1.0
EZR	-52083.5333666637	-52317.36891852145	233.83555185775185	0.0	0.0
SOD2-OT1	-723.9157844911969	-640.669675335863	-83.2461091553339	1.0	1.0
AIRN	-387.6551766674915	-354.8670934926513	-32.78808317484021	1.0	1.0
PACRG-AS3	-1336.2341424691233	-1232.3561443453764	-103.87799812374692	1.0	1.0
PACRG-AS1	-1149.1775917633008	-1037.0279513158114	-112.14964044748945	1.0	1.0
AL031121.2	-2119.813915956882	-1838.0002966242353	-281.81361933264657	1.0	1.0
QKI	-93456.33089727059	-93977.21306850246	520.882171231875	0.0	0.0
PRR18	-15940.822887993052	-16929.362450296998	988.5395623039458	0.0	0.0
AL121956.6	-863.8777765225692	-799.9398742573113	-63.93790226525789	1.0	1.0
SMOC2	-2622.260910791881	-2408.339415429462	-213.92149536241914	1.0	1.0
THBS2	-13142.109610180562	-13327.493440237751	185.3838300571897	0.0	0.0
TCTE3	-1786.0444342759167	-1724.307235949569	-61.73719832634765	1.0	1.0
TMEM184A	-547.8956508696942	-504.16044899950856	-43.735201870185676	1.0	1.0
AC092171.3	-872.9016448240538	-822.0671548056448	-50.83449001840904	1.0	1.0
RSPH10B	-387.2312612852823	-358.68070523282836	-28.550556052453942	1.0	1.0
SCIN	-1041.342066693016	-918.6985468206848	-122.64351987233124	1.0	1.0
AC005014.2	-760.9627626419899	-689.3022024083818	-71.66056023360807	1.0	1.0
TWIST1	-1038.9121510914097	-922.2568000148353	-116.65535107657433	1.0	1.0
IL6	-378.82441303771105	-470.34073094555833	91.51631790784728	0.0	0.0
GPNMB	-7222.854253057121	-7393.857195299158	171.00294224203662	0.0	0.0
NPY	-22473.70420943763	-23645.18665742568	1171.482447988048	0.0	0.0
NFE2L3	-556.0084374241862	-487.97864777368005	-68.02978965050619	1.0	1.0
CREB5	-16877.68406512787	-17643.45604554085	765.7719804129811	0.0	0.0
AC004593.3	-213.61076888345687	-206.36961291844992	-7.2411559650069535	1.0	1.0
MTURN	-115489.86699323966	-116021.40692769125	531.5399344515899	0.0	0.0
AC007036.2	-1137.2221039438252	-1037.8074514149046	-99.41465252892067	1.0	1.0
AQP1	-30343.72175300435	-37642.38379706689	7298.662044062541	0.0	0.0
PDE1C	-22301.66889666505	-23102.312820454914	800.643923789863	0.0	0.0
AC018647.1	-11658.280739296615	-11327.840064918677	-330.4406743779382	1.0	1.0
ANLN	-30682.419729956637	-35021.53403793797	4339.114307981334	0.0	0.0
TRGC1	-395.2853130682812	-344.37423781592713	-50.91107525235407	1.0	1.0
SUGCT	-576.9981214661353	-500.85883886980565	-76.13928259632968	1.0	1.0
AC004951.1	-1795.3752365790267	-1504.8533321289995	-290.52190445002725	1.0	1.0
AEBP1	-10936.957961872567	-10742.306072460977	-194.65188941159067	1.0	1.0
LINC01445	-1011.0589961650523	-937.8356553966174	-73.22334076843492	1.0	1.0
LINC00174	-1511.7294729943562	-1286.3755202518732	-225.353952742483	1.0	1.0
AC006001.2	-2220.7207326007842	-2009.6124403513131	-211.1082922494711	1.0	1.0
CT66	-386.4092661115958	-345.5675513244957	-40.8417147871001	1.0	1.0
CLDN4	-385.5502244166519	-350.3847917018822	-35.16543271476968	1.0	1.0
ELN	-4209.923879735777	-4147.051818407476	-62.87206132830033	1.0	1.0
NCF1	-2528.596165394153	-2215.2326243653333	-313.3635410288198	1.0	1.0
HIP1	-15350.328266416966	-15728.22023805021	377.8919716332439	0.0	0.0
CCDC146	-11292.019636433659	-11133.79974416019	-158.21989227346967	1.0	1.0
AC006043.1	-706.7757699877246	-654.3826982744885	-52.39307171323617	1.0	1.0
CD36	-218.53675686099893	-208.30201333609654	-10.234743524902399	1.0	1.0
SEMA3E	-10753.63193731187	-9397.410484597729	-1356.2214527141405	1.0	1.0
AC005076.1	-1050.1386036522463	-954.3068425179936	-95.8317611342527	1.0	1.0
AC002456.1	-1021.5714090632313	-897.2913221753272	-124.28008688790408	1.0	1.0
AKAP9	-79947.4774461568	-71256.16648509646	-8691.310961060342	1.0	1.0
LRRD1	-269.6331136108071	-341.95408578526434	72.32097217445727	0.0	0.0
ANKIB1	-35001.1312149202	-35756.982394820916	755.8511799007174	0.0	0.0
FAM133B	-37619.84159155652	-37410.38165516956	-209.45993638695654	1.0	1.0
SAMD9L	-3711.4172522604017	-3254.6021289736104	-456.8151232867913	1.0	1.0
PON1	-544.8412692120272	-521.2584675174679	-23.582801694559294	1.0	1.0
ASB4	-1592.3086011052696	-1451.0437297992592	-141.2648713060105	1.0	1.0
AC002451.1	-2549.8418675361727	-2320.291197163295	-229.5506703728779	1.0	1.0
PDK4	-17090.810033063703	-17093.741695400797	2.931662337094167	0.015459565610255521	0.05443509017695606
SLC25A13	-4065.9408829950903	-4355.791877450119	289.8509944550283	0.0	0.0
DLX6-AS1	-10300.96567606837	-11347.298061006413	1046.332384938043	0.0	0.0
BAIAP2L1	-398.5134542890774	-351.38443350295825	-47.129020786119156	1.0	1.0
AC093799.1	-368.5981652289437	-347.92296371939887	-20.67520150954482	1.0	1.0
ARPC1B	-6764.909763948426	-6515.693620297376	-249.21614365105052	1.0	1.0
TMEM225B	-1426.370813074178	-1275.497245277665	-150.87356779651304	1.0	1.0
CYP3A5	-536.8002101459265	-494.2605014952292	-42.539708650697264	1.0	1.0
MCM7	-10501.95244205823	-11130.603399900894	628.6509578426649	0.0	0.0
C7orf61	-2026.8528892141792	-1844.3594010282243	-182.4934881859549	1.0	1.0
SAP25	-3095.066864218197	-2800.908117617659	-294.15874660053805	1.0	1.0
TRIM56	-9667.88313715244	-9479.330176896514	-188.55296025592543	1.0	1.0
NAT16	-555.7947817865482	-506.2666061072965	-49.52817567925172	1.0	1.0
PLOD3	-7483.314361917347	-7451.031512493882	-32.28284942346545	1.0	1.0
AC105052.5	-689.2854419497996	-647.7774155612688	-41.50802638853088	1.0	1.0
FBXL13	-1469.4226042433877	-1263.8902605541389	-205.53234368924882	1.0	1.0
RELN	-7547.47994867066	-9386.56969507313	1839.089746402471	0.0	0.0
EFCAB10	-567.579245359308	-542.9065192051441	-24.672726154163797	1.0	1.0
LSMEM1	-1043.7579449861519	-905.4577628968451	-138.30018208930676	1.0	1.0
CAV1	-5970.487126305755	-4960.497032954626	-1009.990093351129	1.0	1.0
CFTR	-563.2873926831271	-528.5164532946886	-34.77093938843848	1.0	1.0
CTTNBP2	-15439.613592335814	-16175.728183574041	736.1145912382271	0.0	0.0
TSPAN12	-3239.8804652641797	-2801.2683775018636	-438.61208776231615	1.0	1.0
PTPRZ1	-65060.57646352285	-65630.00689049343	569.4304269705826	0.0	0.0
AASS	-12448.79451776205	-12382.697778043124	-66.09673971892516	1.0	1.0
GPR37	-30115.78039830704	-28294.420914235157	-1821.3594840718833	1.0	1.0
ZNF800	-11074.480924453897	-9515.643368154799	-1558.8375562990987	1.0	1.0
RBM28	-11622.437657482174	-11433.567310610364	-188.8703468718104	1.0	1.0
FLNC	-4620.72828232019	-3979.0489808669427	-641.6793014532477	1.0	1.0
AC073320.1	-853.7227383113722	-779.6662034562878	-74.05653485508435	1.0	1.0
AC007938.1	-213.86049541934008	-186.8048209378056	-27.05567448153448	1.0	1.0
MKLN1-AS	-2166.331219014948	-1867.5859248386494	-298.7452941762988	1.0	1.0
CALD1	260304.42948599329	-32496.406910184895	292800.8363961782	0.0	0.0
TMEM140	-2804.716668785702	-2537.9796824351165	-266.73698635058554	1.0	1.0
AC083862.3	-1594.4966684809272	-1401.4218238180565	-193.07484466287065	1.0	1.0
AC091736.1	-214.2086528950382	-191.34503578549968	-22.863617109538524	1.0	1.0
CREB3L2	-5953.066309911688	-6163.776917135126	210.71060722343736	0.0	0.0
ATP6V0A4	-935.658070582377	-912.0056874796602	-23.65238310271684	1.0	1.0
HIPK2	-85696.61433412993	-88183.65215011773	2487.037815987802	0.0	0.0
WEE2-AS1	-1013.171239743231	-902.4204046494216	-110.75083509380943	1.0	1.0
TRPV6	-851.0638567709409	-761.1812735189178	-89.8825832520231	1.0	1.0
AC245427.2	-560.3987733881091	-487.72835060131445	-72.67042278679469	1.0	1.0
AC093673.2	-1225.0224609087015	-1139.059461236827	-85.96299967187451	1.0	1.0
EPHA1-AS1	-214.3418289367832	-192.28867547664854	-22.053153460134666	1.0	1.0
AC073140.1	-860.2751031331165	-810.7078023714157	-49.567300761700835	1.0	1.0
ZNF467	-1932.3344330193613	-1662.657420954814	-269.6770120645474	1.0	1.0
AC006008.1	-536.6876679804545	-490.99002038094335	-45.697647599511185	1.0	1.0
ZBED6CL	-715.213955775498	-662.4493027027759	-52.764653072722126	1.0	1.0
GIMAP8	-1314.6849094544898	-1217.894057177427	-96.79085227706287	1.0	1.0
GIMAP4	-3960.6102428681415	-3377.6189288868636	-582.9913139812779	1.0	1.0
SLC4A2	-5003.325958423393	-5285.517099507021	282.1911410836283	0.0	0.0
CRYGN	-389.4557375635303	-371.61336438798315	-17.842373175547152	1.0	1.0
XRCC2	-880.7545681898285	-773.6597889759211	-107.09477921390749	1.0	1.0
RNF32	-1900.8966424253924	-1760.547906563367	-140.34873586202548	1.0	1.0
AC083964.1	-212.6206796682522	-203.19292031530873	-9.427759352943468	1.0	1.0
ARHGEF10	-13139.939854613425	-13329.623664775329	189.68381016190324	0.0	0.0
AC246817.2	-565.077673290872	-515.6233207772176	-49.454352513654385	1.0	1.0
AF287957.1	-724.3113989098468	-675.2566916535143	-49.05470725633256	1.0	1.0
AF131216.3	-1882.9229062257068	-1720.6699768622207	-162.25292936348615	1.0	1.0
FAM167A	-9695.358591116059	-9735.924334868756	40.56574375269702	0.0	0.0
SLC7A2	-7283.438082673836	-6316.2709603403155	-967.1671223335206	1.0	1.0
MTUS1	-35599.00007650378	-37228.73246194956	1629.7323854457863	0.0	0.0
AC090197.1	-214.64096337361468	-194.84320775757536	-19.797755616039325	1.0	1.0
ADAM28	-3138.0002692635107	-2733.228258566977	-404.7720106965339	1.0	1.0
NEFM	-103812.59153729583	-118420.53808617717	14607.946548881344	0.0	0.0
NEFL	-122319.87831048988	-142102.68399982422	19782.805689334346	0.0	0.0
AC041005.1	-549.1169120967328	-488.0905118802175	-61.0264002165153	1.0	1.0
DOCK5	-10725.543954165018	-11607.144340815797	881.6003866507799	0.0	0.0
AC013643.2	-560.3248166195561	-502.5965375730754	-57.728279046480736	1.0	1.0
KIF13B	-14204.96482395764	-14691.108098638362	486.14327468072224	0.0	0.0
SMIM18	-1792.0473625290806	-1586.197957882526	-205.8494046465546	1.0	1.0
TEX15	-2140.0682376119075	-1979.0042058722302	-161.06403173967738	1.0	1.0
RNF122	-1025.5903174341745	-914.8102021459508	-110.78011528822367	1.0	1.0
AF279873.3	-893.6039200182024	-798.3724569475644	-95.23146307063803	1.0	1.0
SFRP1	-12346.954671121282	-13111.234625899298	764.279954778016	0.0	0.0
GOLGA7	-32708.67040773644	-34295.06760231811	1586.3971945816666	0.0	0.0
CEBPD	-13668.698944612435	-13691.246221113583	22.54727650114728	1.8774648502528635e-11	6.729264696246822e-11
SNAI2	-734.1110896190028	-641.4409636833601	-92.67012593564266	1.0	1.0
ST18	-18945.71553239653	-20574.611554506842	1628.8960221103116	0.0	0.0
AC022034.1	-1472.1722637637824	-1256.4934919965126	-215.67877176726984	1.0	1.0
PENK	-3705.5715043049763	-3725.12638530335	19.554880998373847	4.0063574680004876e-10	1.4282914324422417e-09
CHD7	-17879.97537744261	-18353.159458737435	473.18408129482486	0.0	0.0
LINC01299	-1541.57019581947	-1381.0027982709485	-160.5673975485215	1.0	1.0
AC100812.1	-383.8775529702043	-357.1519307750714	-26.725622195132928	1.0	1.0
AC009879.4	-390.2207954143034	-355.084373983166	-35.136421431137364	1.0	1.0
MYBL1	-2959.2505902354565	-2695.292318613753	-263.95827162170326	1.0	1.0
SNHG6	-67027.52850168869	-58589.08030111656	-8438.44820057213	1.0	1.0
CSPP1	-16550.08772371021	-16661.939615402014	111.85189169180376	0.0	0.0
AC022730.4	-721.4740346844334	-641.3863135748293	-80.0877211096041	1.0	1.0
CRISPLD1	-3878.8752039474666	-3313.0416406203303	-565.8335633271363	1.0	1.0
ZFHX4	-14657.991431608907	-14667.817907081626	9.826475472718812	9.285979217010798e-06	3.2812647409932146e-05
AC036214.1	-545.4539519245642	-525.6117977649589	-19.842154159605343	1.0	1.0
AC036214.4	-848.477144549401	-778.6755019782996	-69.80164257110141	1.0	1.0
FABP5	-23801.609801929324	-23755.04266380377	-46.56713812555245	1.0	1.0
LRRCC1	-22191.654690289	-21071.564184865474	-1120.0905054235263	1.0	1.0
AC004083.1	-1160.911736989214	-1049.0907850028989	-111.8209519863151	1.0	1.0
OTUD6B	-10629.248501445594	-10848.236844084235	218.98834263864046	0.0	0.0
SLC26A7	-387.4903304247842	-358.3096325824104	-29.180697842373775	1.0	1.0
GEM	-5834.83527456437	-5023.354929271491	-811.4803452928791	1.0	1.0
CCNE2	-5999.73178585851	-5017.120098096752	-982.6116877617578	1.0	1.0
AP003465.1	-394.16546283668725	-351.8725874502413	-42.29287538644593	1.0	1.0
RGS22	-1490.72615574758	-1305.2795385769916	-185.4466171705883	1.0	1.0
FBXO43	-382.3753686292469	-348.49449639518366	-33.88087223406325	1.0	1.0
PABPC1	-76638.1599096859	-67298.31085904998	-9339.849050635923	1.0	1.0
CTHRC1	-1603.8530998252932	-1424.556214833117	-179.29688499217605	1.0	1.0
ANGPT1	-5922.034467499127	-5083.019494132648	-839.0149733664784	1.0	1.0
EMC2	-25307.95792842524	-25659.237933142722	351.28000471748237	0.0	0.0
LINC01608	-9708.404551772925	-8075.422831287803	-1632.9817204851215	1.0	1.0
MED30	-4426.374530896746	-3816.8360716944217	-609.5384592023247	1.0	1.0
TNFRSF11B	-1313.1419512031157	-1237.4162264825154	-75.72572472060028	1.0	1.0
ENPP2	-33420.747393204714	-36492.542457893	3071.795064688289	0.0	0.0
HAS2	-875.4001612169122	-772.2358630033015	-103.16429821361078	1.0	1.0
LRATD2	-5117.187090376671	-4299.465333054235	-817.7217573224361	1.0	1.0
NDRG1	-46850.15333764583	-50400.27054271182	3550.117205065988	0.0	0.0
AC103706.1	-1070.374941151053	-1007.6430896606859	-62.73185149036715	1.0	1.0
AC046195.1	-132.6570665299296	-198.34685082005151	65.6897842901219	0.0	0.0
AC107375.1	-5217.58094183771	-4644.7662811197615	-572.8146607179488	1.0	1.0
CHRAC1	-4957.953788169939	-4325.323236310585	-632.6305518593535	1.0	1.0
ERICD	-1169.7340123366268	-1057.6470467076576	-112.08696562896921	1.0	1.0
PTK2	946497.0717280343	-33586.96871813867	980084.0404461729	0.0	0.0
GPT	-2047.6447522448163	-1794.8527399138165	-252.7920123309998	1.0	1.0
AL158832.2	-1227.5447710686947	-1201.9410818915833	-25.60368917711139	1.0	1.0
KANK1	-14854.800462260391	-12539.401635217358	-2315.3988270430327	1.0	1.0
DMRT2	-1995.2667254887972	-1846.263860061026	-149.0028654277712	1.0	1.0
GLIS3	-3988.898548942174	-4028.002403659732	39.10385471755808	0.0	0.0
RCL1	-1964.1583479366197	-1794.7128851436478	-169.44546279297197	1.0	1.0
RLN1	-715.4787707824026	-663.8559126863066	-51.622858096096024	1.0	1.0
IL33	-6289.719009797674	-6000.124421564798	-289.59458823287605	1.0	1.0
LINC01235	-980.1790981943323	-924.3580750265729	-55.821023167759336	1.0	1.0
CNTLN	-8936.5781689312	-9146.197202259498	209.61903332829752	0.0	0.0
AL391834.1	-1372.8450373583692	-1176.9537646934316	-195.89127266493756	1.0	1.0
AL353732.1	-214.2417384527863	-188.34219887175436	-25.899539581031945	1.0	1.0
DMRTA1	-548.0909812570156	-511.3731668661982	-36.717814390817466	1.0	1.0
CYP4F26P	-1872.2292316069354	-1699.7080118237475	-172.52121978318792	1.0	1.0
PTENP1-AS	-1498.6231453242722	-1283.7086192041797	-214.91452612009243	1.0	1.0
UBAP2	-24765.7606576716	-25080.79940145954	315.0387437879399	0.0	0.0
GLIPR2	-6040.26685648673	-5083.561010880015	-956.7058456067152	1.0	1.0
ANKRD18A	-17434.608995613362	-18568.013972831603	1133.4049772182407	0.0	0.0
TJP2	-20995.01878941977	-21409.135474232768	414.11668481299785	0.0	0.0
FAM189A2	-9820.250202239113	-9178.127269958688	-642.1229322804247	1.0	1.0
MAMDC2	-1006.8281172477903	-929.4222811819897	-77.4058360658006	1.0	1.0
ANXA1	-3987.0388272743726	-3934.314279034853	-52.72454823951966	1.0	1.0
TRPM6	-3107.1123588970736	-2786.0036320722547	-321.10872682481886	1.0	1.0
AL158825.2	-559.1885262394616	-537.3002352884023	-21.888290951059275	1.0	1.0
CEP78	-14504.572350348857	-14788.283282939896	283.7109325910387	0.0	0.0
TLE4	-22921.676148338312	-24079.106227801913	1157.4300794636001	0.0	0.0
TUT7	-10616.351443787942	-10882.063956778558	265.71251299061623	0.0	0.0
SEMA4D	-29232.578099895232	-31813.586064758685	2581.007964863453	0.0	0.0
DIRAS2	-64220.00393444687	-66286.92790075328	2066.9239663064072	0.0	0.0
OGN	-870.5255076508619	-806.8892205622938	-63.63628708856811	1.0	1.0
SUSD3	-896.2651026716902	-826.3478838922993	-69.91721877939096	1.0	1.0
AL360020.1	-381.8928619647247	-359.84178131323256	-22.051080651492157	1.0	1.0
AL691447.2	-569.6330526423257	-502.7867898473695	-66.84626279495615	1.0	1.0
AL161729.4	-706.4140362371403	-663.9125663914198	-42.50146984572052	1.0	1.0
HSD17B3	-559.9500944450185	-493.95601965379154	-65.99407479122698	1.0	1.0
SLC35D2	-3214.151272137843	-2907.195147069758	-306.95612506808493	1.0	1.0
CTSV	-722.6442628010994	-631.6187009718086	-91.02556182929084	1.0	1.0
ANP32B	-55890.8403766985	-60920.69540240161	5029.855025703109	0.0	0.0
TRIM14	-3346.676319707707	-2924.5385928077635	-422.1377268999436	1.0	1.0
COL15A1	-871.2743424999735	-793.3537520588595	-77.92059044111397	1.0	1.0
STX17-AS1	-1314.317139623579	-1161.6676149659218	-152.64952465765714	1.0	1.0
PLPPR1	-10176.6490201332	-10246.264135045325	69.61511491212514	0.0	0.0
